"","participant","condition","functional","non.functional","structural","entity","x"
"1",1,1,1,0,5,5,0.0564019609425497
"2",2,2,12,3,3,4,0.0157150442261896
"3",3,3,13,2,4,0,0.000116423779590128
"4",4,2,12,5,9,0,0.00595831961583882
"5",5,4,16,10,8,6,0.132778358022231
"6",6,1,3,0,0,4,0.063327692247718
"7",7,4,17,9,4,18,0.0108579535361532
"8",8,3,9,11,10,0,0.0164302172244023
"9",9,5,10,5,4,10,0.236551547068102
"10",10,5,9,6,5,0,0.0384293188578885
"11",11,4,24,24,20,31,0.468935775258281
"12",12,5,27,23,14,19,0.214992752276471
"13",13,1,12,0,0,0,7.48837694879547e-08
"14",14,2,5,1,2,2,0.308022171558994
"15",15,3,5,2,0,0,0.022583496507334
"16",16,1,8,3,2,2,0.0858010874001229
"17",17,2,8,2,20,3,1.68527862047841e-05
"18",18,3,10,6,4,0,0.0154548272168578
"19",19,5,18,12,3,8,0.0081742219243528
"20",20,4,15,15,17,19,0.881014842513785
"21",21,3,10,1,1,1,0.000316513980843878
"22",22,2,9,4,0,2,0.00761505655952182
"23",23,5,23,9,8,15,0.0155844012875276
"24",24,1,14,5,3,4,0.00792918984728094
"25",25,4,43,32,27,45,0.106117356040488
"26",26,2,12,2,8,5,0.0437703294472967
"27",27,4,16,11,5,13,0.124127911714079
"28",28,3,8,5,2,0,0.0203449985152084
"29",29,5,18,17,7,23,0.0403415166024828
"30",30,1,7,6,5,3,0.644369805637025
"31",31,1,6,6,5,8,0.859008591258717
"32",32,5,26,19,18,42,0.00284104643602695
"33",33,4,30,13,15,32,0.0045887942271732
"34",35,3,4,6,3,1,0.294014793583916
"35",36,5,12,6,15,10,0.263986312487841
"36",37,2,10,8,3,6,0.265491333953072
"37",38,1,8,1,2,4,0.0534272225953029
"38",39,3,4,0,0,0,0.00738316050535977
"39",40,4,19,14,12,31,0.00942179407087067
"40",41,2,15,7,8,2,0.0131574594194437
