participant,Discovery,Specification,Component creation,Management,Execution,Composition,Usability,Community / Online,Target user,UI/Representation,Safety,Flexibility,Quality,Operability,Functional suitabili,Reliability,Security,Compatibility,Maintainability,Transferability,Application Structur,Composition Structur,Technologies,Composite,Components
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5
2,3,0,3,0,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2
3,9,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
4,7,0,1,1,2,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0
5,8,0,0,0,1,7,1,1,1,5,0,0,0,2,0,0,0,0,0,0,3,4,1,5,1
9,5,0,0,0,1,4,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,3,0,7,3
6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,10,0,0,1,2,4,0,3,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,9,9
8,5,0,1,0,1,2,0,4,2,2,0,0,0,3,0,0,0,0,0,0,3,7,0,0,0
10,6,0,0,0,2,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,1,1,3,0,0
11,13,0,0,0,0,11,1,5,4,8,0,0,0,5,1,0,0,0,0,0,7,9,4,15,16
12,13,0,0,1,3,10,1,5,3,8,0,0,0,5,1,0,0,0,0,0,7,6,1,8,11
13,7,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
15,3,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0
17,3,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15,5,0,0,3
18,4,0,2,2,1,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0
19,11,0,0,0,1,6,1,0,2,7,0,0,0,1,1,0,0,0,0,0,1,2,0,5,3
20,10,0,0,0,1,4,1,2,5,5,0,0,0,2,0,0,0,0,0,0,8,7,2,0,19
21,1,0,4,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
22,5,0,0,1,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23,8,0,1,8,3,3,1,3,2,1,0,0,0,2,0,0,0,0,0,0,5,3,0,7,8
24,5,0,0,7,1,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,4
25,15,1,0,0,7,20,1,6,5,13,0,0,0,6,1,0,0,0,0,0,10,12,5,21,24
26,9,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0,1,4
27,7,0,0,1,1,7,1,3,2,3,0,0,0,1,1,0,0,0,0,0,1,4,0,10,3
28,4,0,0,3,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
29,9,0,0,1,2,6,1,4,2,6,0,0,0,4,0,0,0,0,0,0,4,3,0,12,11
30,1,0,1,3,0,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,1
32,16,0,0,1,2,7,1,3,3,8,0,0,0,3,1,0,0,0,0,0,10,8,0,21,21
33,11,1,0,1,5,12,1,2,3,0,0,0,0,6,1,0,0,0,0,0,7,7,1,17,15
35,2,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1
36,2,0,0,0,3,7,0,2,2,0,0,0,0,2,0,0,0,0,0,0,7,6,2,7,3
37,4,0,0,1,1,4,0,0,1,6,0,0,0,1,0,0,0,0,0,0,1,2,0,2,4
38,2,0,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
39,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10,0,0,0,4,5,1,1,2,4,0,0,0,5,1,0,0,0,0,0,5,7,0,17,14
41,9,0,0,3,1,2,0,4,0,1,0,0,0,1,1,0,0,0,0,0,4,4,0,1,1
31,1,0,1,3,1,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,2,3,0,0,8
